verb,MoreAuthority_Label,Ann1_raw,Ann2_raw,Ann3_raw,,,,
dwarfs,Agent,Theme,Agent,Agent,,,,FALSE
dwells,Theme,Theme,equal,equal,,,,FALSE
earns,equal,equal,Theme,Agent,,,,TRUE
eases,equal,equal,equal,equal,,,,FALSE
eats,Agent,Agent,Agent,Agent,,,,FALSE
echoes,Theme,Theme,Theme,equal,,,,FALSE
edges,Agent,Agent,equal,Agent,,,,FALSE
edits,Agent,Agent,Agent,Agent,,,,FALSE
educates,Agent,Agent,Agent,Agent,,,,FALSE
ejects,Agent,Agent,Agent,Agent,,,,FALSE
elaborates,Theme,Theme,equal,Theme,,,,FALSE
elbows,Agent,Agent,Agent,equal,,,,FALSE
elects,Agent,Theme,Agent,Agent,,,,FALSE
elevates,equal,equal,Theme,Agent,,,,TRUE
eliminates,Agent,Agent,Agent,Agent,,,,FALSE
emanates,Agent,Agent,Agent,Agent,,,,FALSE
embarrasses,equal,equal,equal,equal,,,,FALSE
embeds,equal,Agent,Theme,equal,,,,TRUE
emblazons,Agent,Agent,equal,Agent,,,,FALSE
embraces,Agent,equal,equal,Agent,,,,FALSE
embroiders,Agent,Agent,Agent,Agent,,,,FALSE
emits,Theme,equal,Theme,equal,,,,FALSE
emphasizes,Agent,equal,equal,Agent,,,,FALSE
employs,Agent,Agent,equal,Agent,,,,FALSE
empties,Agent,Agent,equal,Agent,,,,FALSE
enables,Agent,Agent,Agent,Agent,,,,FALSE
enacts,equal,equal,Agent,Theme,,,,TRUE
encases,Agent,Agent,Agent,Agent,,,,FALSE
encircles,Agent,Agent,Agent,equal,,,,FALSE
encloses,Agent,Agent,Agent,equal,,,,FALSE
encounters,equal,equal,equal,equal,,,,FALSE
encourages,Agent,Agent,equal,equal,,,,FALSE
endangers,equal,Theme,Agent,equal,,,,TRUE
endorses,equal,equal,Agent,Theme,,,,TRUE
ends,Agent,Agent,Agent,Agent,,,,FALSE
endures,Theme,equal,Theme,equal,,,,FALSE
enforces,Theme,Theme,Theme,Agent,,,,FALSE
engages,Agent,Agent,equal,equal,,,,FALSE
engraves,Agent,Agent,Agent,Agent,,,,FALSE
engrosses,Agent,Agent,equal,Agent,,,,FALSE
engulfs,Agent,Agent,Agent,Agent,,,,FALSE
enhances,Agent,equal,Agent,equal,,,,FALSE
enjoys,Theme,equal,Theme,equal,,,,FALSE
enlists,Agent,Agent,Agent,Agent,,,,FALSE
enrages,Agent,equal,equal,Agent,,,,FALSE
enriches,Agent,Agent,Agent,Agent,,,,FALSE
ensures,Agent,Agent,equal,Agent,,,,FALSE
enters,Agent,Agent,equal,equal,,,,FALSE
entertains,Theme,Theme,equal,equal,,,,FALSE
entitles,Agent,Agent,Agent,equal,,,,FALSE
envelops,Agent,Agent,Agent,Agent,,,,FALSE
envies,Theme,Theme,Theme,equal,,,,FALSE
envisions,Agent,equal,Agent,equal,,,,FALSE
equips,Agent,equal,Agent,equal,,,,FALSE
erases,Agent,Agent,Agent,Agent,,,,FALSE
erects,Agent,Agent,Agent,equal,,,,FALSE
erodes,Agent,Agent,equal,Agent,,,,FALSE
escalates,Agent,Agent,Agent,equal,,,,FALSE
escapes,equal,Theme,Agent,equal,,,,TRUE
escorts,Agent,Agent,Agent,equal,,,,FALSE
establishes,Agent,Agent,Agent,equal,,,,FALSE
estimates,equal,equal,equal,equal,,,,FALSE
etches,Agent,equal,equal,Agent,,,,FALSE
evacuates,Agent,Agent,Theme,Agent,,,,FALSE
evades,Theme,equal,Theme,Theme,,,,FALSE
evaluates,Agent,equal,equal,Agent,,,,FALSE
exaggerates,equal,equal,equal,equal,,,,FALSE
examines,Agent,equal,equal,Agent,,,,FALSE
exasperates,Agent,Agent,Agent,equal,,,,FALSE
exceeds,Agent,Agent,Agent,Agent,,,,FALSE
exchanges,Agent,equal,Agent,Agent,,,,FALSE
excites,equal,equal,equal,equal,,,,FALSE
excludes,Agent,Agent,Agent,Agent,,,,FALSE
excuses,Agent,Agent,equal,Agent,,,,FALSE
executes,Agent,Agent,Agent,Theme,,,,FALSE
exercises,Agent,equal,Agent,Agent,,,,FALSE
exerts,Agent,Agent,Agent,equal,,,,FALSE
exhales,Agent,Agent,Agent,Theme,,,,FALSE
exhausts,Agent,equal,Agent,equal,,,,FALSE
exits,equal,equal,equal,equal,,,,FALSE
expands,Agent,Agent,Agent,Agent,,,,FALSE
expects,Agent,equal,Agent,equal,,,,FALSE
expels,Agent,Agent,equal,Agent,,,,FALSE
experiences,Theme,Theme,Theme,Theme,,,,FALSE
explains,Theme,Theme,equal,equal,,,,FALSE
exploits,Agent,Agent,Agent,equal,,,,FALSE
explores,Agent,Agent,equal,Agent,,,,FALSE
exposes,Agent,Agent,equal,Agent,,,,FALSE
expresses,Agent,Agent,Agent,equal,,,,FALSE
extends,Agent,Agent,Agent,equal,,,,FALSE
extinguishes,Agent,Agent,Agent,Agent,,,,FALSE
extracts,Agent,equal,Agent,Agent,,,,FALSE
eyeballs,Theme,Theme,equal,equal,,,,FALSE
eyes,Agent,equal,equal,Agent,,,,FALSE
faces,equal,equal,equal,equal,,,,FALSE
fails,Agent,Theme,Agent,Agent,,,,FALSE
fakes,equal,equal,equal,equal,,,,FALSE
fakes out,Agent,Agent,Agent,Agent,,,,FALSE
fancies,Theme,Theme,equal,Theme,,,,FALSE
fans,Theme,Theme,equal,Theme,,,,FALSE
fascinates,Agent,Agent,Agent,Agent,,,,FALSE
fashions,Agent,Agent,Agent,Agent,,,,FALSE
fastens,Agent,Agent,equal,Agent,,,,FALSE
favors,equal,equal,equal,equal,,,,FALSE
fears,Theme,Theme,Theme,Theme,,,,FALSE
features,Agent,Agent,equal,Agent,,,,FALSE
feeds,Agent,Agent,Agent,Agent,,,,FALSE
feels,equal,equal,equal,equal,,,,FALSE
fees,Agent,equal,Agent,Agent,,,,FALSE
feigns,equal,equal,equal,equal,,,,FALSE
fences,Agent,Agent,equal,equal,,,,FALSE
fends off,equal,Theme,equal,Agent,,,,TRUE
fetches,Agent,equal,equal,Agent,,,,FALSE
fights,equal,equal,equal,equal,,,,FALSE
figures,equal,equal,equal,equal,,,,FALSE
files,equal,equal,equal,equal,,,,FALSE
fills,Theme,Theme,equal,equal,,,,FALSE
films,equal,equal,equal,equal,,,,FALSE
filters,Agent,Agent,Agent,equal,,,,FALSE
finances,Agent,Agent,Agent,equal,,,,FALSE
finds,equal,equal,equal,equal,,,,FALSE
fingers,Agent,equal,Agent,equal,,,,FALSE
finishes,equal,equal,equal,equal,,,,FALSE
fires,Agent,Agent,Agent,Agent,,,,FALSE
fires at,Agent,Agent,equal,equal,,,,FALSE
fishes for,Theme,equal,equal,Theme,,,,FALSE
fishtails,Agent,Agent,Agent,equal,,,,FALSE
fits,Agent,equal,Agent,equal,,,,FALSE
fixates on,Theme,Theme,Theme,equal,,,,FALSE
fixes,Agent,Agent,Agent,Agent,,,,FALSE
flags,Agent,equal,Agent,Agent,,,,FALSE
flanks,equal,equal,equal,equal,,,,FALSE
flattens,Agent,Agent,Agent,Agent,,,,FALSE
flexes,Agent,equal,Agent,equal,,,,FALSE
flicks,Agent,Agent,Agent,Agent,,,,FALSE
flings,Agent,Agent,equal,Agent,,,,FALSE
floods,Agent,Agent,Agent,equal,,,,FALSE
floors,equal,Theme,Agent,equal,,,,TRUE
flushes,Agent,Agent,Agent,Theme,,,,FALSE
focuses on,Theme,Theme,equal,Theme,,,,FALSE
folds,Agent,Agent,equal,Agent,,,,FALSE
follows,Theme,equal,Theme,Theme,,,,FALSE
fondles,Agent,Agent,Agent,equal,,,,FALSE
fools,Agent,Agent,Agent,Agent,,,,FALSE
forbids,Agent,Agent,Agent,Agent,,,,FALSE
forces,Agent,Agent,Agent,Agent,,,,FALSE
forges,Agent,Agent,Agent,Agent,,,,FALSE
forgets,Agent,equal,Agent,equal,,,,FALSE
forgives,Agent,Agent,equal,equal,,,,FALSE
forms,Agent,equal,equal,Agent,,,,FALSE
fosters,Agent,Agent,equal,Agent,,,,FALSE
founds,Agent,Agent,Agent,Agent,,,,FALSE
frames,equal,equal,equal,equal,,,,FALSE
frees,Agent,Agent,Agent,Agent,,,,FALSE
freezes,Agent,Agent,Agent,equal,,,,FALSE
fries,Agent,Agent,Agent,Agent,,,,FALSE
frightens,Agent,Agent,equal,Agent,,,,FALSE
frisks,Agent,Agent,Agent,Agent,,,,FALSE
fronts,Agent,Agent,equal,equal,,,,FALSE
frustrates,equal,Theme,Agent,equal,,,,TRUE
fuels,Agent,equal,Agent,equal,,,,FALSE
fulfills,equal,Theme,equal,Agent,,,,TRUE
fulfils,Theme,equal,Theme,Theme,,,,FALSE
furnishes,Agent,equal,equal,Agent,,,,FALSE
furrows,Agent,equal,Agent,equal,,,,FALSE
fusses over,Theme,equal,equal,Theme,,,,FALSE
gags,Agent,Agent,equal,equal,,,,FALSE
gags on,Agent,Agent,Agent,equal,,,,FALSE
gains,Agent,Agent,Agent,Agent,,,,FALSE
gaps,Agent,Agent,equal,Agent,,,,FALSE
gathers,Agent,Agent,Agent,equal,,,,FALSE
gauges,equal,equal,equal,equal,,,,FALSE
generates,Agent,Agent,Agent,Agent,,,,FALSE
gestures,Agent,equal,Agent,equal,,,,FALSE
gets,Agent,Agent,equal,equal,,,,FALSE
gives,Agent,equal,Agent,equal,,,,FALSE
glazes,Agent,Agent,equal,Agent,,,,FALSE
glimpses,Agent,equal,equal,Agent,,,,FALSE
glues,Agent,equal,Agent,equal,,,,FALSE
gnaws,Agent,equal,Agent,Agent,,,,FALSE
goes,equal,equal,equal,equal,,,,FALSE
gouges,Agent,Agent,Agent,equal,,,,FALSE
governs,Agent,Agent,Agent,Agent,,,,FALSE
grabs,Agent,Agent,Agent,Agent,,,,FALSE
grants,Agent,Agent,Agent,Agent,,,,FALSE
grapples with,equal,equal,equal,equal,,,,FALSE
grasps,Agent,equal,Agent,Agent,,,,FALSE
grazes,Agent,equal,equal,Agent,,,,FALSE
greets,Theme,Theme,equal,equal,,,,FALSE
grieves,Theme,Theme,equal,equal,,,,FALSE
grills,Agent,Agent,Agent,Agent,,,,FALSE
grinds,Agent,Agent,equal,equal,,,,FALSE
grips,Agent,Agent,equal,Agent,,,,FALSE
grits,Agent,Agent,equal,equal,,,,FALSE
grooms,Agent,Agent,Agent,Agent,,,,FALSE
gropes,Agent,equal,Agent,equal,,,,FALSE
grounds,Agent,equal,Agent,Agent,,,,FALSE
groups,Agent,Agent,equal,Agent,,,,FALSE
guarantees,Agent,Agent,Agent,equal,,,,FALSE
guards,Theme,equal,equal,Theme,,,,FALSE
guesses,equal,equal,equal,equal,,,,FALSE
guides,Agent,Agent,Agent,Agent,,,,FALSE
gulps,Agent,Agent,Agent,equal,,,,FALSE
hacks,Agent,Agent,Agent,equal,,,,FALSE
hails,Theme,equal,Theme,Theme,,,,FALSE
halts,Agent,Agent,Agent,Agent,,,,FALSE
hammers,Agent,Agent,Agent,Agent,,,,FALSE
hampers,Agent,Agent,Agent,Agent,,,,FALSE
handcuffs,Agent,Agent,Agent,Agent,,,,FALSE
handles,Agent,Agent,Agent,Agent,,,,FALSE
hands,Agent,equal,Agent,equal,,,,FALSE
hangs,Agent,Agent,equal,Agent,,,,FALSE
harasses,Agent,Agent,equal,Agent,,,,FALSE
hardens,equal,equal,equal,equal,,,,FALSE
harms,Agent,Agent,Agent,Agent,,,,FALSE
hates,Theme,equal,equal,Theme,,,,FALSE
hauls,equal,equal,Theme,Agent,,,,TRUE
haunts,Agent,equal,Agent,equal,,,,FALSE
haves,Agent,equal,Agent,equal,,,,FALSE
heals,Agent,Agent,equal,Agent,,,,FALSE
heaps,Agent,Agent,equal,Agent,,,,FALSE
hears,Theme,Theme,equal,equal,,,,FALSE
heats,Agent,Agent,Agent,Agent,,,,FALSE
heaves,Agent,Agent,Agent,equal,,,,FALSE
hefts,Agent,Agent,Agent,Agent,,,,FALSE
heightens,Agent,equal,Agent,Agent,,,,FALSE
helps,equal,equal,equal,equal,,,,FALSE
herds,Agent,Agent,Agent,Agent,,,,FALSE
hides,Agent,Agent,Agent,Agent,,,,FALSE
highlights,equal,equal,Agent,Theme,,,,TRUE
hikes,equal,equal,equal,equal,,,,FALSE
hires,Agent,Agent,Agent,Agent,,,,FALSE
hitches,Agent,equal,equal,Agent,,,,FALSE
hits,Agent,Agent,equal,Agent,,,,FALSE
hoists,equal,equal,Theme,Agent,,,,TRUE
holds,Agent,Agent,Agent,Agent,,,,FALSE
hollers,Agent,Agent,equal,Agent,,,,FALSE
honors,Theme,Theme,Theme,equal,,,,FALSE
hooks,Agent,Agent,Agent,equal,,,,FALSE
hopes,Theme,Theme,Theme,equal,,,,FALSE
horrifies,Agent,equal,Agent,equal,,,,FALSE
houses,Agent,Agent,Agent,equal,,,,FALSE
hugs,Agent,Agent,Agent,equal,,,,FALSE
humiliates,Agent,Agent,Agent,Agent,,,,FALSE
hums,Agent,Agent,equal,equal,,,,FALSE
hunts,Agent,Agent,Agent,Agent,,,,FALSE
hurls,Agent,Agent,Agent,Agent,,,,FALSE
hurries,Agent,Agent,Agent,Agent,,,,FALSE
hurtles,Agent,Agent,equal,Agent,,,,FALSE
hurts,Agent,Agent,Agent,Agent,,,,FALSE
hushes,Agent,Agent,Agent,Agent,,,,FALSE
hustles,Agent,equal,Agent,Agent,,,,FALSE
hyperventilates,Agent,equal,Agent,equal,,,,FALSE
hypnotizes,Agent,Agent,Agent,Agent,,,,FALSE
ices,Agent,Agent,equal,Agent,,,,FALSE
identifies,Agent,Agent,equal,equal,,,,FALSE
ignites,Agent,Agent,Agent,Agent,,,,FALSE
ignores,Agent,Agent,equal,equal,,,,FALSE
illuminates,equal,equal,equal,equal,,,,FALSE
illustrates,equal,Theme,Agent,equal,,,,TRUE
imagines,equal,Theme,Agent,equal,,,,TRUE
imitates,Theme,equal,Theme,equal,,,,FALSE
immerses,Agent,Agent,Agent,Theme,,,,FALSE
immobilizes,Agent,Agent,Agent,Agent,,,,FALSE
impales,Agent,Agent,Agent,Agent,,,,FALSE
implements,Agent,Agent,Agent,Theme,,,,FALSE
implies,Agent,Agent,equal,equal,,,,FALSE
implores,Theme,Theme,Theme,Theme,,,,FALSE
imposes,Agent,Agent,equal,equal,,,,FALSE
impresses,equal,equal,Agent,Theme,,,,TRUE
improves,Agent,Agent,Agent,Agent,,,,FALSE
includes,Agent,Agent,Agent,equal,,,,FALSE
incorporates,Theme,equal,Theme,equal,,,,FALSE
increases,Agent,Agent,equal,Agent,,,,FALSE
indicates,equal,equal,equal,equal,,,,FALSE
induces,Agent,Agent,equal,Agent,,,,FALSE
indulges,Theme,Theme,equal,Theme,,,,FALSE
infects,equal,equal,Agent,Theme,,,,TRUE
inflicts,Agent,Agent,Agent,Theme,,,,FALSE
influences,Agent,Agent,Agent,equal,,,,FALSE
informs,Agent,Agent,Theme,Agent,,,,FALSE
inhales,Agent,Agent,equal,Agent,,,,FALSE
inherits,Agent,Agent,Agent,Agent,,,,FALSE
initiates,Agent,Agent,Agent,equal,,,,FALSE
injects,Agent,Agent,Agent,Agent,,,,FALSE
injures,Agent,equal,Agent,Agent,,,,FALSE
inserts,Agent,Agent,equal,Agent,,,,FALSE
insists,Agent,Agent,Agent,Agent,,,,FALSE
insists on,Agent,Agent,Agent,Agent,,,,FALSE
inspects,Agent,Agent,equal,equal,,,,FALSE
inspires,Agent,Agent,Agent,equal,,,,FALSE
installs,Agent,Agent,Agent,Theme,,,,FALSE
instals,Agent,Agent,Agent,Theme,,,,FALSE
instructs,Agent,Agent,Agent,Agent,,,,FALSE
insults,Agent,equal,equal,Agent,,,,FALSE
insures,Agent,equal,equal,Agent,,,,FALSE
integrates,Agent,Agent,Agent,Agent,,,,FALSE
intends,equal,equal,equal,equal,,,,FALSE
intensifies,Agent,equal,Agent,equal,,,,FALSE
intercepts,Agent,Agent,equal,Agent,,,,FALSE
interests,Theme,equal,equal,Theme,,,,FALSE
interprets,equal,equal,equal,equal,,,,FALSE
interrogates,Agent,Agent,Agent,Agent,,,,FALSE
interrupts,Agent,Agent,Agent,equal,,,,FALSE
intersects,equal,equal,equal,equal,,,,FALSE
interviews,equal,Agent,Theme,equal,,,,TRUE
intimidates,Agent,Agent,Agent,Agent,,,,FALSE
intrigues,Agent,equal,Agent,equal,,,,FALSE
introduces,Agent,equal,equal,Agent,,,,FALSE
invades,Agent,Agent,Agent,Agent,,,,FALSE
invents,Agent,Agent,Agent,Agent,,,,FALSE
investigates,Agent,Agent,equal,equal,,,,FALSE
invests,Agent,equal,Agent,Agent,,,,FALSE
invites,Agent,Agent,equal,Agent,,,,FALSE
invokes,Agent,equal,Agent,Agent,Theme,Agent,Agent,FALSE
involves,Agent,Agent,equal,equal,,,,FALSE
irritates,Agent,Agent,equal,equal,,,,FALSE
isolates,Agent,Agent,Agent,equal,,,,FALSE
issues,Agent,equal,Agent,Agent,,,,FALSE
jabs,Agent,equal,equal,Agent,,,,FALSE
jams,Agent,Agent,equal,Agent,,,,FALSE
jars,Agent,Agent,equal,Agent,,,,FALSE
jiggles,Agent,Agent,equal,equal,,,,FALSE
joins,Theme,equal,Theme,Theme,,,,FALSE
jolts,Agent,Agent,equal,Agent,,,,FALSE
jostles,Agent,Agent,Agent,Agent,,,,FALSE
jots,Theme,equal,Theme,equal,,,,FALSE
judges,Agent,Agent,Agent,Agent,,,,FALSE
juggles,Agent,Agent,Agent,equal,,,,FALSE
justifies,Agent,equal,Agent,equal,,,,FALSE
keeps,Agent,Agent,equal,Agent,,,,FALSE
keys,Agent,Agent,equal,equal,,,,FALSE
kicks,Agent,equal,Agent,Agent,,,,FALSE
kidnaps,Agent,Agent,Agent,Agent,,,,FALSE
kids,Agent,equal,Agent,equal,,,,FALSE
kills,Agent,Agent,Agent,Agent,,,,FALSE
kisses,Agent,Agent,equal,equal,,,,FALSE
knits,Agent,equal,Agent,Agent,,,,FALSE
knocks,Agent,equal,Agent,Agent,,,,FALSE
knots,Agent,equal,equal,Agent,,,,FALSE
knows,Agent,Agent,equal,equal,,,,FALSE
labels,equal,equal,equal,equal,,,,FALSE
laces,Agent,equal,Agent,equal,,,,FALSE
lacks,Theme,Theme,equal,Theme,,,,FALSE
laps,Agent,Agent,equal,Agent,,,,FALSE
lashes,Agent,equal,Agent,Agent,,,,FALSE
lasts,Agent,equal,equal,Agent,,,,FALSE
latches,equal,equal,equal,equal,,,,FALSE
launches,Agent,Agent,Agent,Theme,,,,FALSE
leads,Agent,Agent,Agent,Agent,,,,FALSE
leafs,Agent,Agent,equal,equal,,,,FALSE
leaks,equal,equal,equal,equal,,,,FALSE
learns,Theme,Theme,Theme,Theme,,,,FALSE
leaves,Agent,equal,equal,Agent,,,,FALSE
lectures,Agent,Agent,Agent,Agent,Agent,Agent,Agent,FALSE
lends,Agent,equal,Agent,Agent,,,,FALSE
lets,Agent,Agent,Agent,Agent,,,,FALSE
letters,equal,equal,equal,equal,,,,FALSE
levels,Agent,Agent,equal,equal,,,,FALSE
licks,equal,equal,equal,equal,,,,FALSE
lies to,equal,equal,equal,equal,,,,FALSE
lifts,Agent,Agent,equal,Agent,,,,FALSE
lightens,Agent,equal,Agent,equal,,,,FALSE
lights,Agent,equal,Agent,equal,,,,FALSE
likes,Theme,equal,Theme,Theme,,,,FALSE
limits,Agent,Agent,equal,Agent,,,,FALSE
lines,equal,equal,equal,equal,,,,FALSE
links,equal,equal,equal,equal,,,,FALSE
listens,Theme,equal,equal,Theme,,,,FALSE
lists,equal,equal,equal,equal,,,,FALSE
litters,Agent,Agent,equal,Agent,,,,FALSE
lives,equal,equal,equal,equal,,,,FALSE
lives on,equal,Agent,equal,Theme,,,,TRUE
loads,Agent,Agent,Agent,equal,,,,FALSE
locates,equal,equal,equal,equal,,,,FALSE
locks,Agent,equal,equal,Agent,,,,FALSE
looks,equal,equal,equal,equal,,,,FALSE
loops,Agent,equal,equal,Agent,,,,FALSE
loosens,Agent,Agent,Agent,equal,,,,FALSE
looses,Agent,Agent,equal,Agent,,,,FALSE
lops,Agent,Agent,equal,Agent,,,,FALSE
loses,Theme,equal,equal,Theme,,,,FALSE
loves,equal,equal,equal,equal,,,,FALSE
lowers,Agent,equal,Agent,equal,,,,FALSE
lugs,Theme,equal,equal,Theme,,,,FALSE
lurches,Agent,Agent,equal,equal,,,,FALSE
lures,Agent,Agent,equal,equal,,,,FALSE
magnifies,equal,Agent,equal,Theme,,,,TRUE
mails,Agent,Agent,Agent,Agent,,,,FALSE
maintains,Agent,Agent,equal,Agent,,,,FALSE
makes,Agent,Agent,Agent,Agent,,,,FALSE
manages,Agent,Agent,equal,Agent,,,,FALSE
mandates,Agent,Agent,Agent,Agent,,,,FALSE
maneuvers,Agent,Agent,Agent,equal,,,,FALSE
mangles,Agent,Agent,Agent,equal,,,,FALSE
manipulates,Agent,Agent,equal,Agent,,,,FALSE
mans,Agent,Agent,Agent,Agent,,,,FALSE
manufactures,Agent,Agent,Agent,Agent,,,,FALSE
marks,Agent,Agent,equal,equal,,,,FALSE
marries,equal,equal,equal,equal,,,,FALSE
marvels at,Theme,equal,Theme,Theme,,,,FALSE
mashes,Agent,equal,equal,Agent,,,,FALSE
masks,Agent,equal,Agent,Agent,,,,FALSE
massages,Theme,Theme,Theme,equal,,,,FALSE
matches,equal,equal,equal,equal,,,,FALSE
mats,Agent,Agent,equal,Agent,,,,FALSE
means,equal,equal,equal,equal,,,,FALSE
measures,equal,equal,equal,equal,,,,FALSE
meets,equal,equal,equal,equal,,,,FALSE
melts,Agent,Agent,Agent,equal,,,,FALSE
memorizes,equal,equal,equal,equal,,,,FALSE
mends,Agent,Agent,equal,Agent,,,,FALSE
mentions,Theme,Theme,equal,Theme,,,,FALSE
merges,Agent,Agent,Agent,equal,,,,FALSE
mesmerizes,Agent,equal,Agent,Agent,,,,FALSE
messes up,Agent,Agent,equal,Agent,,,,FALSE
mimes,Theme,Theme,Theme,Theme,,,,FALSE
mimics,Theme,equal,Theme,equal,,,,FALSE
minds,Theme,equal,equal,Theme,,,,FALSE
mingles,Theme,equal,Theme,equal,,,,FALSE
minimizes,Agent,Agent,Agent,Agent,,,,FALSE
mirrors,Agent,equal,equal,Agent,,,,FALSE
misses,Theme,Theme,equal,equal,,,,FALSE
mistakes,equal,equal,equal,equal,,,,FALSE
misunderstands,Theme,equal,Theme,equal,,,,FALSE
mixes,Agent,equal,Agent,equal,,,,FALSE
mobilizes,Agent,equal,Agent,Agent,,,,FALSE
mocks,Agent,equal,Agent,Agent,,,,FALSE
modifies,Agent,Agent,Agent,Agent,,,,FALSE
monitors,Agent,Agent,Agent,Agent,,,,FALSE
mops,equal,equal,Theme,Agent,,,,TRUE
motions to,equal,equal,Agent,Theme,,,,TRUE
motivates,Agent,Agent,equal,Agent,,,,FALSE
mounts,Agent,Agent,Agent,equal,,,,FALSE
mouths,equal,equal,equal,equal,,,,FALSE
moves,Agent,Agent,Agent,Agent,,,,FALSE
moves on,equal,equal,equal,equal,,,,FALSE
mows,Agent,Agent,Agent,Agent,,,,FALSE
muffles,Agent,Agent,Agent,Agent,,,,FALSE
mugs,Agent,Agent,Agent,equal,,,,FALSE
multiplies,Agent,Agent,equal,Agent,,,,FALSE
mumbles,equal,equal,equal,equal,,,,FALSE
munches,Agent,equal,equal,Agent,,,,FALSE
murders,Agent,Agent,Agent,Agent,,,,FALSE
murmurs,equal,equal,equal,equal,,,,FALSE
musters,Agent,equal,Agent,equal,,,,FALSE
mutes,Agent,Agent,Agent,Agent,,,,FALSE
mutilates,Agent,Agent,Agent,Agent,,,,FALSE
mutters,equal,equal,equal,equal,,,,FALSE
nails,Agent,Agent,Agent,Agent,,,,FALSE
names,Agent,Agent,Agent,Agent,,,,FALSE
narrows,equal,equal,equal,equal,,,,FALSE
navigates,Agent,Agent,Agent,Theme,,,,FALSE
nears,equal,equal,equal,equal,,,,FALSE
needs,Theme,Theme,Theme,Theme,,,,FALSE
neglects,Agent,equal,equal,Agent,,,,FALSE
negotiates,Agent,equal,equal,Agent,,,,FALSE
nestles,Agent,equal,equal,Agent,,,,FALSE
nibbles,Agent,equal,Agent,Agent,,,,FALSE
nods to,Theme,equal,Theme,equal,,,,FALSE
nominates,Agent,Agent,Agent,Agent,,,,FALSE
noses,Agent,equal,equal,Agent,,,,FALSE
notes,Theme,Theme,equal,equal,,,,FALSE
notices,equal,equal,equal,equal,,,,FALSE
notifies,Agent,equal,equal,Agent,,,,FALSE
nudges,equal,equal,equal,equal,,,,FALSE
numbers,equal,equal,equal,equal,,,,FALSE
nurses,Agent,Agent,equal,Agent,,,,FALSE
nuzzles,Theme,equal,equal,Theme,,,,FALSE
obeys,Theme,Theme,Theme,Theme,,,,FALSE
objects to,Theme,equal,equal,Theme,,,,FALSE
obliges,Theme,Theme,equal,equal,,,,FALSE
obliterates,Agent,Agent,Agent,Agent,,,,FALSE
obscures,Agent,equal,Agent,Agent,,,,FALSE
observes,equal,equal,Theme,Agent,,,,TRUE
obsesses over,Theme,Theme,Theme,Theme,,,,FALSE
obstructs,Agent,Agent,equal,Agent,,,,FALSE
obtains,Agent,Agent,Agent,Agent,,,,FALSE
occupies,Agent,Agent,equal,Agent,,,,FALSE
offends,Theme,equal,Theme,equal,,,,FALSE
offers,Agent,Agent,Agent,equal,,,,FALSE
offers to,Theme,Theme,equal,equal,,,,FALSE
omits,Agent,Agent,Agent,Agent,,,,FALSE
oozes,equal,equal,equal,equal,,,,FALSE
opens,Agent,Agent,Agent,Agent,,,,FALSE
operates,Agent,Theme,Agent,Agent,,,,FALSE
opposes,equal,equal,equal,equal,,,,FALSE
orders,Agent,Agent,Agent,Agent,,,,FALSE
organizes,Agent,Agent,Agent,Agent,,,,FALSE
outlaws,Agent,Agent,Agent,Agent,,,,FALSE
outlines,Theme,Theme,equal,equal,,,,FALSE
overcomes,Agent,Agent,Agent,Agent,,,,FALSE
overhears,equal,equal,equal,equal,,,,FALSE
overlaps,Agent,equal,Agent,Agent,,,,FALSE
overlooks,Agent,Agent,equal,Agent,,,,FALSE
oversees,Agent,Agent,Agent,Agent,,,,FALSE
overtakes,Agent,Agent,equal,Agent,,,,FALSE
overthrows,Agent,Theme,Agent,Agent,,,,FALSE
overturns,Agent,Agent,Agent,Agent,,,,FALSE
overwhelms,Agent,Agent,Agent,Agent,,,,FALSE
owes,Theme,Theme,Theme,Theme,,,,FALSE
owns,Agent,Agent,Agent,Agent,,,,FALSE
paces,equal,equal,equal,equal,,,,FALSE
packs,Agent,Agent,equal,equal,,,,FALSE
pads,Agent,equal,Agent,equal,,,,FALSE
pages,equal,equal,equal,equal,,,,FALSE
paints,Agent,Agent,Agent,Agent,,,,FALSE
panics,equal,equal,equal,equal,,,,FALSE
pans,Agent,equal,Agent,equal,,,,FALSE
paralyzes,Agent,Agent,equal,Agent,,,,FALSE
pardons,Agent,Agent,Agent,Agent,,,,FALSE
parks,Agent,Agent,Agent,Agent,,,,FALSE
parts,Agent,Agent,equal,Agent,,,,FALSE
passes,Agent,Agent,equal,equal,,,,FALSE
pastes,Agent,equal,Agent,equal,,,,FALSE
patches,Agent,Agent,Agent,equal,,,,FALSE
patrols,Agent,Agent,equal,equal,,,,FALSE
pats,equal,equal,equal,equal,,,,FALSE
paves,equal,equal,Theme,Agent,,,,TRUE
paws,equal,equal,equal,equal,,,,FALSE
pays,Agent,Agent,Agent,Agent,,,,FALSE
pecks,Agent,Agent,Agent,Agent,,,,FALSE
peddles,Agent,equal,equal,Agent,,,,FALSE
peels,Agent,Agent,Agent,Agent,,,,FALSE
pegs,Agent,Agent,equal,Agent,,,,FALSE
pelts,Agent,Agent,Agent,equal,,,,FALSE
penetrates,Agent,Agent,Agent,equal,,,,FALSE
perceives,equal,equal,equal,equal,,,,FALSE
perfects,Agent,Agent,Agent,Agent,,,,FALSE
